"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff","Cost","MI_Hellenistic","MI_Roman","MI_diff"
100,91,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,92,0.8,0.6,0.2,NA,0.291103166032368,0.0138442938083905,0.277258872223978
100,97,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
106,111,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
106,117,0.8,1,-0.2,NA,0.22314355131421,0.500402423538188,-0.277258872223978
106,118,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
106,12,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,120,0.8,1,-0.2,NA,0,0.500402423538188,-0.500402423538188
106,121,0.8,0.2,0.6,NA,0.22314355131421,0,0.22314355131421
106,124,0.8,1,-0.2,NA,0,0.500402423538188,-0.500402423538188
106,127,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,128,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,13,0.8,0.6,0.2,NA,0,0.0505343078431413,-0.0505343078431413
106,144,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,145,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,146,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,149,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,152,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,153,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,158,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,16,0.8,0.2,0.6,NA,0.22314355131421,0,0.22314355131421
106,160,1,0.6,0.4,NA,0.500402423538188,0.1184939225613,0.381908500976888
106,205,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,212,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
106,216,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,233,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,24,0.6,0.2,0.4,NA,0.1184939225613,0,0.1184939225613
106,26,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,28,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,32,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,328,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,332,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,334,0.6,0.2,0.4,NA,0.0505343078431413,0.22314355131421,-0.172609243471069
106,336,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,338,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,339,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,344,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,345,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,347,1,0.8,0.2,NA,0.500402423538188,0.22314355131421,0.277258872223978
106,352,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,353,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,36,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,364,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,369,1,0.6,0.4,NA,0.500402423538188,0.1184939225613,0.381908500976888
106,389,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,39,1,0.6,0.4,NA,0.500402423538188,0.1184939225613,0.381908500976888
106,40,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,409,0.8,0.4,0.4,NA,0.22314355131421,0.0505343078431413,0.172609243471069
106,411,0.6,0.2,0.4,NA,0.1184939225613,0,0.1184939225613
106,413,0.8,0.8,0,NA,0.22314355131421,0.22314355131421,0
106,414,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,415,1,1,0,NA,0.500402423538188,0.500402423538188,0
106,416,1,1,0,NA,0.500402423538188,0.500402423538188,0
