start poin,end point,total cost,layer,path
57,34,16.973,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,41,17.030,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,91,17.404,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,347,17.404,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,365,18.264,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,63,18.462,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,334,19.384,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,40,19.512,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,460,21.302,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,16,22.083,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,387,22.823,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,330,23.698,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,26,25.238,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,100,25.238,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,92,25.822,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,28,25.822,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,409,26.443,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,411,27.420,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,13,29.176,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,121,29.205,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,364,29.205,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
